region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version,chalname,tgtname,notes,chalname2,tgtname2,startyear,endyear,years,dys
1,3601,36,Hans Island,1,20,390,Canada-Denmark,197101,201799,NA,-9,4,1,2,2,2,2,1,1,0,0,0,1.01,Canada,Denmark,NA,NA,NA,1971,2017,(1971-2017),Canada-Denmark (1971-2017)
1,4401,44,Guantanamo Bay,1,40,2,Cuba-United States,196009,201799,NA,-9,7,2,4,3,4,3,2,1,0,0,0,1.01,Cuba,United States,NA,NA,United States,1960,2017,(1960-2017),Cuba-United States (1960-2017)
1,4602,46,Navassa Island,2,41,2,Haiti-United States,193501,201799,NA,-9,2,1,1,1,0,2,1,1,0,0,0,1.01,Haiti,United States,NA,NA,United States,1935,2017,(1935-2017),Haiti-United States (1935-2017)
1,5604,56,Quita Sueno-Roncador-Serrana,4,93,100,Nicaragua-Colombia,197912,201799,NA,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,Nicaragua,Colombia,NA,NA,NA,1979,2017,(1979-2017),Nicaragua-Colombia (1979-2017)
1,5802,58,San Andres y Providencia,2,93,100,Nicaragua-Colombia,197912,201799,NA,-9,7,2,3,4,4,3,1,2,3,0,0,1.01,Nicaragua,Colombia,NA,NA,NA,1979,2017,(1979-2017),Nicaragua-Colombia (1979-2017)
1,6602,66,Belize,2,90,80,Guatemala-Belize,198109,201799,NA,-9,10,3,4,6,6,4,1,3,5,0,0,1.01,Guatemala,Belize,NA,NA,NA,1981,2017,(1981-2017),Guatemala-Belize (1981-2017)
1,6802,68,Ranguana & Sapodilla (Zapotillo),2,90,80,Guatemala-Belize,198109,201799,NA,-9,7,2,3,4,4,3,1,2,0,0,0,1.01,Guatemala,Belize,NA,NA,NA,1981,2017,(1981-2017),Guatemala-Belize (1981-2017)
1,6804,68,Ranguana & Sapodilla (Zapotillo),4,91,80,Honduras-Belize,198109,201799,NA,-9,7,2,3,4,4,3,1,2,0,0,0,1.01,Honduras,Belize,NA,NA,NA,1981,2017,(1981-2017),Honduras-Belize (1981-2017)
1,6805,68,Ranguana & Sapodilla (Zapotillo),5,91,90,Honduras-Guatemala,198109,201799,NA,-9,6,2,3,3,4,2,1,1,0,0,0,1.01,Honduras,Guatemala,NA,NA,NA,1981,2017,(1981-2017),Honduras-Guatemala (1981-2017)
1,7802,78,Conejo Island,2,92,91,El Salvador-Honduras,200004,201799,NA,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,El Salvador,Honduras,NA,NA,NA,2000,2017,(2000-2017),El Salvador-Honduras (2000-2017)
1,11203,112,Essequibo,3,101,110,Venezuela-Guyana,196605,201799,NA,-9,7,2,3,4,4,3,1,2,7,0,0,1.01,Venezuela,Guyana,NA,Venezuela,NA,1966,2017,(1966-2017),Venezuela-Guyana (1966-2017)
1,12003,120,Corentyn/New River Triangle,3,115,110,Suriname-Guyana,197511,201799,NA,-9,8,3,4,4,4,4,2,2,2,0,0,1.01,Suriname,Guyana,NA,NA,NA,1975,2017,(1975-2017),Suriname-Guyana (1975-2017)
1,12402,124,Maroni,2,115,220,Suriname-France,197511,201799,NA,-9,7,2,4,3,4,3,2,1,0,0,0,1.01,Suriname,France,NA,NA,NA,1975,2017,(1975-2017),Suriname-France (1975-2017)
1,15402,154,Antofagasta,2,145,155,Bolivia-Chile,188404,201799,NA,-9,10,3,5,5,6,4,2,2,2,1,0,1.01,Bolivia,Chile,NA,Bolivia,NA,1884,2017,(1884-2017),Bolivia-Chile (1884-2017)
1,17001,170,Falkland (Malvinas) Is. & Dependencies,1,160,200,Argentina-United Kingdom,184101,201799,NA,-9,10,3,5,5,6,4,2,2,4,1,1,1.01,Argentina,United Kingdom,NA,NA,United Kingdom,1841,2017,(1841-2017),Argentina-United Kingdom (1841-2017)
2,20601,206,Gibraltar,1,230,200,Spain-United Kingdom,181601,201799,NA,-9,7,2,4,3,4,3,2,1,3,0,0,1.01,Spain,United Kingdom,NA,NA,United Kingdom,1816,2017,(1816-2017),Spain-United Kingdom (1816-2017)
2,30003,300,Petseri & Narva,3,366,365,Estonia-Russian Federation,199109,201799,NA,-9,8,3,4,4,2,6,3,3,0,0,0,1.01,Estonia,Russian Federation,NA,NA,NA,1991,2017,(1991-2017),Estonia-Russian Federation (1991-2017)
2,30203,302,Abrene (Abrena) & Pytalovo (Pitalovo),3,367,365,Latvia-Russian Federation,199109,200712,4,-9,8,3,4,4,2,6,3,3,1,0,0,1.01,Latvia,Russian Federation,NA,NA,NA,1991,2007,(1991-2007),Latvia-Russian Federation (1991-2007)
2,34601,346,Prevlaka Peninsula,1,345,344,Montenegro-Croatia,199201,201799,NA,-9,8,3,4,4,4,4,2,2,1,1,0,1.01,Montenegro,Croatia,NA,Montenegro,NA,1992,2017,(1992-2017),Montenegro-Croatia (1992-2017)
2,35001,350,Danube coast,1,345,344,Montenegro-Croatia,199201,201799,NA,-9,8,3,4,4,2,6,3,3,0,0,0,1.01,Montenegro,Croatia,NA,Montenegro,NA,1992,2017,(1992-2017),Montenegro-Croatia (1992-2017)
2,35201,352,Dragonja River-Secovlje-Sneznik,1,349,344,Slovenia-Croatia,199201,201799,NA,-9,10,3,5,5,4,6,3,3,0,0,0,1.01,Slovenia,Croatia,NA,NA,NA,1992,2017,(1992-2017),Slovenia-Croatia (1992-2017)
2,36808,368,Northern Cyprus,8,352,640,Cyprus-Turkey,197408,201799,NA,-9,7,2,4,3,2,5,3,2,6,3,0,1.01,Cyprus,Turkey,NA,NA,NA,1974,2017,(1974-2017),Cyprus-Turkey (1974-2017)
2,38001,380,Reni-Odessa Highway near Palanca,1,369,359,Ukraine-Republic of Moldova,199609,201106,4,-9,7,2,3,4,2,5,2,3,0,0,0,1.01,Ukraine,Republic of Moldova,NA,NA,NA,1996,2011,(1996-2011),Ukraine-Republic of Moldova (1996-2011)
2,38203,382,Serpent's/Snake/Zmeinyy Island,3,360,369,Romania-Ukraine,199112,200903,12,-9,10,3,5,5,6,4,2,2,0,0,0,1.01,Romania,Ukraine,NA,NA,NA,1991,2009,(1991-2009),Romania-Ukraine (1991-2009)
