region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version,chalname,tgtname,notes,chalname2,tgtname2,startyear,endyear,years,dys
5,94609,946,Paracel Islands,9,816,710,Vietnam-China,197504,201799,NA,-9,8,3,4,4,4,4,2,2,1,0,0,1.01,Vietnam,China,NA,Vietnam,NA,1975,2017,(1975-2017),Vietnam-China (1975-2017)
5,95203,952,Three Pagodas Pass,3,775,800,Myanmar-Thailand,199002,201799,NA,-9,8,3,4,4,4,4,2,2,1,0,0,1.01,Myanmar,Thailand,NA,NA,NA,1990,2017,(1990-2017),Myanmar-Thailand (1990-2017)
5,95807,958,Ban Rom Klao,7,800,812,Thailand-Laos,198403,201799,NA,-9,7,2,3,4,2,5,2,3,2,2,0,1.01,Thailand,Laos,NA,NA,Laos,1984,2017,(1984-2017),Thailand-Laos (1984-2017)
5,96403,964,Mondol Kiri Province & Minor Border Areas,3,811,816,Cambodia-Vietnam,199308,201799,NA,-9,7,2,3,4,2,5,2,3,1,0,0,1.01,Cambodia,Vietnam,NA,NA,Vietnam,1993,2017,(1993-2017),Cambodia-Vietnam (1993-2017)
5,96801,968,Limbang (North Sarawak),1,835,820,Brunei Darussalam-Malaysia,198401,200903,4,-9,7,2,3,4,4,3,1,2,0,0,0,1.01,Brunei Darussalam,Malaysia,NA,NA,NA,1984,2009,(1984-2009),Brunei Darussalam-Malaysia (1984-2009)
5,97103,971,Sabah (North Borneo),3,840,820,Philippines-Malaysia,196309,201799,NA,-9,7,2,3,4,4,3,1,2,2,0,0,1.01,Philippines,Malaysia,NA,NA,NA,1963,2017,(1963-2017),Philippines-Malaysia (1963-2017)
5,97201,972,Sipadan & Ligitan,1,850,820,Indonesia-Malaysia,199106,200212,12,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,Indonesia,Malaysia,NA,NA,NA,1991,2002,(1991-2002),Indonesia-Malaysia (1991-2002)
5,97801,978,Matthew & Hunter Islands,1,935,220,Vanuatu-France,198201,201799,NA,-9,2,1,1,1,0,2,1,1,0,0,0,1.01,Vanuatu,France,NA,NA,NA,1982,2017,(1982-2017),Vanuatu-France (1982-2017)
5,98001,980,Pulau Batu Puteh (Pedra Branca),1,820,830,Malaysia-Singapore,197804,201799,NA,-9,5,2,2,3,2,3,1,2,1,0,0,1.01,Malaysia,Singapore,NA,NA,NA,1978,2017,(1978-2017),Malaysia-Singapore (1978-2017)
5,98408,984,Spratly Islands,8,816,710,Vietnam-China,197504,201799,NA,-9,8,3,4,4,4,4,2,2,6,1,0,1.01,Vietnam,China,NA,Vietnam,NA,1975,2017,(1975-2017),Vietnam-China (1975-2017)
5,98410,984,Spratly Islands,10,816,713,Vietnam-Taiwan,197504,201799,NA,-9,8,3,4,4,4,4,2,2,2,0,0,1.01,Vietnam,Taiwan,NA,Vietnam,Taiwan,1975,2017,(1975-2017),Vietnam-Taiwan (1975-2017)
5,98411,984,Kalayaan (Eastern Spratly Islands),11,840,710,Philippines-China,197107,201799,NA,-9,8,3,4,4,4,4,2,2,5,0,0,1.01,Philippines,China,NA,NA,NA,1971,2017,(1971-2017),Philippines-China (1971-2017)
5,98412,984,Kalayaan (Eastern Spratly Islands),12,840,713,Philippines-Taiwan,197107,201799,NA,-9,8,3,4,4,4,4,2,2,1,0,0,1.01,Philippines,Taiwan,NA,NA,Taiwan,1971,2017,(1971-2017),Philippines-Taiwan (1971-2017)
5,98413,984,Kalayaan (Eastern Spratly Islands),13,840,816,Philippines-Vietnam,197504,201799,NA,-9,8,3,4,4,4,4,2,2,2,0,0,1.01,Philippines,Vietnam,NA,NA,Vietnam,1975,2017,(1975-2017),Philippines-Vietnam (1975-2017)
5,98415,984,Southern Spratly Islands,15,820,710,Malaysia-China,197912,201799,NA,-9,8,3,4,4,4,4,2,2,1,0,0,1.01,Malaysia,China,NA,NA,NA,1979,2017,(1979-2017),Malaysia-China (1979-2017)
5,98416,984,Southern Spratly Islands,16,820,713,Malaysia-Taiwan,197912,201799,NA,-9,8,3,4,4,4,4,2,2,0,0,0,1.01,Malaysia,Taiwan,NA,NA,Taiwan,1979,2017,(1979-2017),Malaysia-Taiwan (1979-2017)
5,98417,984,Southern Spratly Islands,17,820,816,Malaysia-Vietnam,197912,201799,NA,-9,8,3,4,4,4,4,2,2,1,0,0,1.01,Malaysia,Vietnam,NA,NA,Vietnam,1979,2017,(1979-2017),Malaysia-Vietnam (1979-2017)
5,98418,984,Southern Spratly Islands,18,820,840,Malaysia-Philippines,197912,201799,NA,-9,8,3,4,4,4,4,2,2,1,0,0,1.01,Malaysia,Philippines,NA,NA,NA,1979,2017,(1979-2017),Malaysia-Philippines (1979-2017)
5,99001,990,Minerva Reefs,1,950,955,Fiji-Tonga,199909,201799,NA,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,Fiji,Tonga,NA,NA,NA,1999,2017,(1999-2017),Fiji-Tonga (1999-2017)
2,NA,NA,Perejil Island,NA,600,230,Morocco-Spain,200207,201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morocco,Spain,NA,NA,NA,2002,2017,(2002-2017),Morocco-Spain (2002-2017)
3,NA,NA,Sabanerwa,NA,517,516,Rwanda-Burundi,200605,201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rwanda,Burundi,NA,NA,NA,2006,2017,(2006-2017),Rwanda-Burundi (2006-2017)
3,NA,NA,Ilemi Triangle,NA,501,626,Kenya-South Sudan,201107,201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenya,South Sudan,NA,NA,NA,2011,2017,(2011-2017),Kenya-South Sudan (2011-2017)
3,NA,NA,Abyei,NA,626,625,South Sudan-Sudan,201107,201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Sudan,Sudan,NA,NA,NA,2011,2017,(2011-2017),South Sudan-Sudan (2011-2017)
3,NA,NA,Rukwanzi Island,NA,500,490,Democratic Republic of the Congo-Uganda,200708,201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Democratic Republic of the Congo,Uganda,NA,NA,NA,2007,2017,(2007-2017),Democratic Republic of the Congo-Uganda (2007-2017)
2,NA,NA,Crimea,NA,365,369,Russian Federation-Ukraine,201403,201799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Russian Federation,Ukraine,NA,NA,NA,2014,2017,(2014-2017),Russian Federation-Ukraine (2014-2017)
4,NA,NA,Tiran and Sanafir Islands,NA,670,651,Saudi Arabia-Egypt,201604,201604,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saudi Arabia,Egypt,NA,NA,NA,2016,2016,(2016-2016),Saudi Arabia-Egypt (2016-2016)
1,NA,NA,Calero Island,NA,93,94,Nicaragua-Costa Rica,201011,201512,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicaragua,Costa Rica,NA,NA,NA,2010,2015,(2010-2015),Nicaragua-Costa Rica (2010-2015)
2,NA,NA,Kosovo,NA,345,347,Serbia-Kosovo,200802,201706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serbia,Kosovo,NA,NA,NA,2008,2017,(2008-2017),Serbia-Kosovo (2008-2017)
5,NA,NA,Preah Vihear,NA,800,811,Thailand-Cambodia,200807,201311,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand,Cambodia,NA,NA,NA,2008,2013,(2008-2013),Thailand-Cambodia (2008-2013)
5,NA,NA,Batek Island,NA,860,850,East Timor-Indonesia,200302,200408,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Timor,Indonesia,NA,NA,NA,2003,2004,(2003-2004),East Timor-Indonesia (2003-2004)
